Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,CO2 Emissions(g/km),CO2 Rating,Smog Rating
acura,compact,2.4,4,am8,z,200,6,3
acura,suv: small,3.5,6,as10,z,263,4,5
acura,suv: small,2.0,4,as10,z,232,5,6
acura,suv: small,2.0,4,as10,z,242,5,6
acura,compact,2.0,4,as10,z,230,5,7
acura,compact,2.0,4,as10,z,231,5,7
acura,compact,3.0,6,as10,z,256,5,5
acura,compact,3.0,6,as10,z,261,4,5
alfa romeo,mid-size,2.0,4,a8,z,205,6,3
alfa romeo,mid-size,2.0,4,a8,z,217,5,3
alfa romeo,mid-size,2.9,6,a8,z,271,4,3
alfa romeo,suv: small,2.0,4,a8,z,218,5,3
alfa romeo,suv: small,2.0,4,a8,z,226,5,3
alfa romeo,suv: small,2.9,6,a8,z,288,4,3
aston martin,minicompact,4.0,8,a8,z,271,4,5
aston martin,minicompact,5.2,8,a8,z,324,3,3
aston martin,suv: standard,4.0,8,a9,z,343,3,5
aston martin,two-seater,4.0,8,a8,z,270,4,5
audi,subcompact,2.0,4,am7,x,178,7,7
audi,compact,2.0,4,am7,z,190,6,5
audi,compact,2.0,4,am7,z,205,6,5
audi,station wagon: small,2.0,4,am7,z,208,6,5
audi,subcompact,2.0,4,am7,z,214,5,5
audi,subcompact,2.0,4,am7,z,205,6,5
audi,mid-size,2.0,4,am7,z,205,6,5
audi,mid-size,2.0,4,am7,z,208,6,5
audi,mid-size,3.0,6,am7,z,224,5,5
audi,station wagon: mid-size,3.0,6,am7,z,234,5,5
audi,full-size,3.0,6,as8,z,248,5,5
audi,suv: small,2.0,4,as8,x,215,5,7
audi,suv: small,2.0,4,as8,x,233,5,7
audi,suv: small,2.0,4,am7,z,217,5,5
audi,suv: small,2.0,4,am7,z,220,5,5
audi,suv: standard,2.0,4,as8,z,252,5,3
audi,suv: standard,3.0,6,as8,z,273,4,5
audi,two-seater,5.2,8,am7,z,322,3,3
audi,two-seater,5.2,8,am7,z,356,3,3
audi,subcompact,2.9,6,as8,z,267,4,5
audi,mid-size,2.9,6,as8,z,268,4,5
audi,station wagon: mid-size,4.0,8,as8,z,319,3,3
audi,mid-size,4.0,8,as8,z,315,3,3
audi,suv: standard,4.0,8,as8,z,360,2,3
audi,subcompact,2.0,4,am7,z,206,6,5
audi,compact,3.0,6,as8,z,227,5,5
audi,subcompact,3.0,6,as8,z,233,5,5
audi,subcompact,3.0,6,as8,z,227,5,5
audi,mid-size,3.0,6,as8,z,227,5,5
audi,mid-size,2.9,6,as8,z,254,5,5
audi,full-size,4.0,8,as8,z,323,3,3
audi,suv: small,3.0,6,as8,z,262,4,5
audi,suv: standard,4.0,8,as8,z,325,3,3
audi,subcompact,2.0,4,am7,x,218,5,7
audi,two-seater,2.0,4,am7,x,218,5,7
audi,subcompact,2.5,5,am7,z,235,5,3
audi,subcompact,2.0,4,am7,z,209,5,3
bentley,suv: standard,4.0,8,as8,z,309,3,3
bentley,suv: standard,6.0,8,as8,z,383,2,3
bentley,subcompact,4.0,8,am8,z,287,4,3
bentley,subcompact,6.0,8,am8,z,379,2,3
bentley,minicompact,4.0,8,am8,z,294,4,3
bentley,minicompact,6.0,8,am8,z,395,2,3
bentley,mid-size,4.0,8,am8,z,323,3,3
bentley,mid-size,6.0,8,am8,z,373,2,3
bmw,compact,2.0,4,as8,z,195,6,7
bmw,subcompact,2.0,4,as8,z,202,6,7
bmw,mid-size,2.0,4,as8,z,206,6,7
bmw,full-size,3.0,6,as8,z,219,5,5
bmw,full-size,4.4,8,as8,z,279,4,3
bmw,mid-size,4.4,8,as8,z,279,4,3
bmw,suv: standard,4.4,8,as8,z,321,3,3
bmw,compact,2.0,4,as8,z,214,5,3
bmw,subcompact,3.0,6,as8,z,212,5,5
bmw,compact,3.0,6,m6,z,293,4,5
bmw,compact,3.0,6,as8,z,292,4,5
bmw,compact,3.0,6,as8,z,296,4,5
bmw,compact,3.0,6,as8,z,214,5,5
bmw,subcompact,3.0,6,as8,z,301,3,5
bmw,subcompact,3.0,6,m6,z,293,4,5
bmw,subcompact,3.0,6,as8,z,292,4,5
bmw,subcompact,3.0,6,as8,z,296,4,5
bmw,subcompact,3.0,6,as8,z,211,5,5
bmw,subcompact,3.0,6,as8,z,214,5,5
bmw,compact,3.0,6,as8,z,224,5,5
bmw,mid-size,4.4,8,as8,z,322,3,3
bmw,mid-size,4.4,8,as8,z,271,4,3
bmw,full-size,6.0,8,as8,z,354,3,3
bmw,subcompact,4.4,8,as8,z,322,3,3
bmw,subcompact,4.4,8,as8,z,279,4,3
bmw,subcompact,4.4,8,as8,z,271,4,3
bmw,suv: small,2.0,4,as8,z,213,5,7
bmw,suv: small,2.0,4,as8,z,207,6,7
bmw,suv: small,2.0,4,as8,z,207,6,3
bmw,suv: small,2.0,4,as8,z,230,5,7
bmw,suv: small,3.0,6,as8,z,323,3,3
bmw,suv: small,3.0,6,as8,z,241,5,5
bmw,suv: standard,3.0,6,as8,z,241,5,3
bmw,suv: standard,4.4,8,as8,z,364,2,3
bmw,suv: standard,4.4,8,as8,z,302,3,3
bmw,suv: standard,3.0,6,as8,z,256,5,3
bmw,two-seater,2.0,4,as8,z,199,6,7
bmw,two-seater,3.0,6,as8,z,223,5,5
